Disturbance Cause Type	نوع مسبب الاضطراب	Definition	التعريف			
Construction	إنشاءات	The act of building, including structures, such as housing, infrastructure etc., and the resulting product/s. These activities can be on an industrial/public scale, or at a much smaller 'domestic' scale.	عملية البناء، وتشمل المنشآت مثل البيوت، والبنية التحتية وغيرها. قد تكون هذه العمليات بمقاييس صناعية، أو كأعمال عامة، وقد تكون بمقياس أصغر بكثير على مستوى المسكن 	إعمار	both are OK	
Demolition/Destruction	هدم/ تدمير	The act of destruction or tearing down of archaeological structures. This act can be carried out both in a controlled and uncontrolled manner, but also using both mechanised and/or hand machinery	عملية هدم أو إزالة منشأ أثري. تتم هذه العملية بأسلوب فيه تحكم، أو بأسلوب ليس به تحكم، وقد تكون بشكل يدوي أو بشكل آلي 			
Dissolved Salt	ملح مذاب	Salt dissolved in groundwater (or sometimes water from the air) raising up and recrystallizing in heritage features such as buildings or rock surfaces.				
Dredging	جرف أو نكش	The excavation or clearance of the bed of a waterbody, using heavy machinery				
Drilling	حفر افقي/تنقيب (عن الغاز)	The act of making a hole using a boring or rotating mechanism. Drilling can be associated with activities such as Oil extraction and the sinking of well systems.	عملية إحداث ثقب باستخدام آلية ثاقبة أو دورانية، ترتبط عملية الثقب بأنشطة معينة مثل استخراج البترول وحفر آبار المياه	حفر	حفر افقي/تنقيب (عن الغاز)	ثقب
Drought	جفاف	"A prolonged period of abnormally low rainfall, leading to a shortage of water; for heritage sites the decreased humidity can cause structural and other problems. For normally submerged sites use ""Recession of water""."				
Dumping	التخلص من النفايات	The action of disposing of unwanted material, including scrap material and waste.	التخلص من المواد غير المرغوب فيها، شاملاً بقايا المواد، والنفايات  			
Excavation (Bulldozing/Machinery)	الحفائر (الميكانيكية/ بالبلدوزر)	The act of digging or creating a hole/trench with heavy duty machinery for a purpose other than mining/quarrying. This term can be used to cover archaeological excavation or excavation for the purposes of looting.	عملية الحفر، أو عمل حفرة/خندق باستخدام المعدات الثقيلة لأهداف غير استخراج الحجر أو استخراج المعادن. ويشمل هذا المصطلح الحفائر الأثرية، أو الحفر من أجل نهب الدفائن.			
Excavation (Hand)	الحفائر (اليدوية)	The act of digging or creating a hole/trench by hand/hand tools for a purpose other than mining/quarrying. This term can be used to cover archaeological excavation or excavation for the purposes of looting.	عملية الحفر، أو عمل حفرة/خندق باليد أو بمعدات يدوية لأهداف غير استخراج الحجر أو استخراج المعادن. ويشمل هذا المصطلح الحفائر الأثرية، أو الحفر من أجل نهب الدفائن.			
Excavation (Unclassified)	الحفائر (غير مصنّفة)	The act of digging or creating a hole/trench for a purpose other than mining/quarrying where it is not clear whether this has been carried out using mechanised machinery or by hand. This term can be used to cover archaeological excavation or excavation for the purposes of looting.	عملية الحفر، أو عمل حفرة/خندق. إلا أنه ليس من الواضح إن كان قد تم باليد أو بمعدات يدوية أو باستخدام المعدات الثقيلة، لأهداف غير استخراج الحجر أو استخراج المعادن. ويشمل هذا المصطلح الحفائر الأثرية، أو الحفر من أجل نهب الدفائن.			
Explosion/Heavy Weaponry	إنفجار/ أسلحة ثقيلة	The release of energy in an often sudden and violent way. This can lead to the sudden shattering or blowing apart of objects/features.	إطلاق طاقة بشكل مفاجئ وعنيف. وقد يؤدي ذلك إلى تصدّع مفاجئ أو التناثر للقطع أو الملامح			
Fire	نار	An exothermic process involving the oxidation of material, sending out light and heat and possibly producing smoke.	عملية إكسوثرمية تشمل أكسدة المواد، وإطلاق ضوء وحرارة مع احتمال أن ينتج دخان			
Flooding	فيضان	A natural act involving an overflow from a water body, beyond its normal limits. This can lead to archaeological features being covered or submerged under a body of water. This term is differentiated from inundation	"عملية طبيعية تشمل طفح محتوى مائي خارج حدوده المعتادة، مما يؤدي إلى غمر الملامح الأثرية بالماء أو إغراقها تجت المحتوى المائي. ويجب التفريق بين هذا المصطلح وبين مصطلح ""غمر"""			
Grafitti	جرافيتي/خربشة	The act of writing or drawing (can be scratched, painted etc.) something onto a surface. In this case the surface of an archaeological object, feature or site.	عملية الكتابة أو الرسم (قد يكون بالخدش، أو الطلاء، أو غيرها) على سطح. وفي هذا السياق يكون السطح لقطعة أثرية، أو ملمح أثري، أو موقع أثري	خربشة	both should be used	جرافيتي
Grazing/Animal Movement	رعي/حركة حيوانات	The act of animals consuming vegetation/and or being moved across an area of land whether that vegetation be natural or planted.	العملية التي تستهلك بموجبها الحيوانات الزرع، وقد يكون ذلك بحركة الحيوانات خلال مساحة من الأرض بغض النظر عن كون هذا الزرع قد نمى طبيعياً، أو قد تمت زراعته			
Gunfire/Light Weaponry	إطلاق نيران/ أسلحة خفيفة	The act of firing or letting off small scale weaponry e.g. guns as opposed to the use of artillery.	عملية إطلاق النار باستخدام أسلح خفيفة، مثل البنادق (وليس المدفعية الثقيلة)			
Human Movement/Trampling	حركة البشر/ وطء أو دوس	The act of people moving across a heritage site, which can cause damage to the features and erosion.				
Inundation	غمر	An anthropogenic act involving an area being covered/overwhelmed with water. This is differentiated from flooding by being defined as a deliberate and anthropogenic act.	عملية تغطية مساحة معينة بالماء، وتختلف عن الفيضان في كون الغمر يتم بفعل الإنسان			
Irrigation (Unclassified)	ري (غير مصنّف)	The artifical and deliberate provision of water by the means of pipes, sprinklers, drains, ditches etc.	توفير الماء بشكل متعمد ومن صنع الإنسان عن طريق مواسير، أو رشاشات، أو مصارف، أو قنوات			
Irrigation (Channels)	ري (قنوات)	The act of digging trenches across a landscape and the provision of water through that system to an area.	عملية حفر خنادق في الأرض الطبيعية لتوفير المياه لمنطقة ما أو ضمن منظومة ري			
Irrigation (Centre Pivot System)	ري (نظام ري دائري مرتكز على محور)	The installation and use of a centre pivot irrigation system for the provision of water to an area.	تركيب واستخدام نظام ري مرتكز على محور يدور حول مركز دائرة لتوفير المياه لمنطقة	ري (نظام ري دائري مرتكز على محور)	ok	ري (نظام دائري مرتكز على محور)
Lack of Maintenance/Management/Legal Measures and Activities	إنعدام الصيانة/ الإدارة/ الإجراءات والنشاطات القانونية	Lack of upkeep activities, and legal frameworks (e.g legal enforcement of protection of heritage places) to look after sites. This category also includes lack of tourism and management strategies (such as the lack of human and financial resources and conservation plan, etc.) on a heritage site.				
Land/Rock Slide	إنهيار التربة/ إنهيار الصخور	The collapse/movement of a mass of earth or rock, generally down a slope.	انهيار أو حركة كتلة من التربة أو الصخر، وعادة ما تكون الحركة لأسفل بإتجاه مائل			
Landmines	ألغام أرضية	An explosive charge laid on or just under a surface (anthropogenic or natural)	عبوة ناسفة فوق الأرض أو تحت سطح الأرض مباشرة (بواسطة الإنسان أو بشكل طبيعي)			
Landscaping	تغيير/تعديل معالم المكان	The delibreate act of changing the countours of the land/earth's surface. This can include landscaping in order to produce terraces, as well as the deposition of imported soil, raising the level of land surface/	التغيير المتعمد لمستويات التربة أو سطح الأرض. قد يشمل ذلك تنسيق المواقع بهدف عمل مدرجات، أو وضع تربة مستقدمة من مكان آخر لرفع منسوب سطح الأرض	استصلاح وتسوية	ok but the meaning is not easy to find an Arabic word for it. but different words can give the meaning: تغيير/تعديل معالم المكان	تسنيق مواقع
Maintenance/Management Activities	فعاليات صيانة/ إدارة	Includes the implementation of upkeep and maintenance activities to look after sites. This category also includes both implementation of tourism and management strategies (such as the addition of modern features e.g. walkways, dedication of human resources and development of conservation plans, etc.) on a heritage site. This does not, however, include actual conservation activites for which there is a separate term. 	محاولات حفظ المواقع الأثري في حالة جيدة، ويمكن أن يكون ذلك من خلال إضافة ملامح حديثة، مثل الممرات، وغير ذلك بالموقع التراثي. ولا يشمل ذلك الحفاظ			
Mining/Quarrying (Unclassified)	استخراج الحجر/ استخراج المعادن (غير مصنّف)	The extraction of natural resources/geological materials i.e. metals, stone etc. from the earth, by unknown means	استخراج الموارد الطبيعية/ والمواد الجيولوجية، مثل المعادن، والحجر وغير ذلك من الأرض بوسائل غير معروفة			
Mining/Quarrying (Surface)	استخراج الحجر/ استخراج المعادن (سطحي)	The extraction of natural resources/geological materials i.e. metals, stone etc. from the earth by scraping or working the surface of the ground, often with machinery such as bulldozers. Most often in alluvial contexts.	استخراج الموارد الطبيعية/ والمواد الجيولوجية، مثل المعادن، والحجر وغير ذلك من الأرض بواسطة الكشط أو معالجة سطح الأرض، وعادة ما يتم ذلك بمعدات مثل الجرافة (البولدوزر)، وعادة في سياق طميي/ غريني			
Mining/Quarrying (Open Trench/Pit)	استخراج الحجر/  استخراج المعادن (خندق مفتوح/ حفرة مفتوحة)	The extraction of natural resources/geological materials i.e. metals, stone etc. from the earth by excavating pits or trenches into the surface.	استخراج الموارد الطبيعية/ والمواد الجيولوجية، مثل المعادن، والحجر وغير ذلك من الأرض بحفر آبار وخنادق على سطح الأرض			
Mining/Quarrying (Underground)	استخراج الحجر/ استخراج المعادن (تحت الأرض)	The extraction of natural resources/geological materials i.e. metals, stone etc. from the earth by excavating under the surface of the ground, accessed through tunnels, shafts, or caves.	استخراج الموارد الطبيعية/ والمواد الجيولوجية، مثل المعادن، والحجر وغير ذلك من الأرض بالحفر تحت سطح الأرض، ويتم الوصول إليه عن طريق أنفاق، وفتحات أو كهوف.			
Mooring/Anchoring	رسو	The action of securing a watercraft to prevent it moving, by attaching it to an object on the seafloor or on land				
No Visible/Known	غير مرئي/ غير معروف	This term should be used to indicate that, given the current evidence, there is no evidence for damage and/or threat to the archaeological site mentioned in published imagery or identifiable from imagery sources.	يستخدم هذا المصطلح للدلالة على أنه، في ظل الأدلة المتاحة، لا يوجد ما يدل على ضرر/ أو مخاطر تواجه الموقع الأثري المذكور في صورة منشورة أو مصادر مرئية محددة.			
Occupation/Continued Use	مشغول/ استخدام مستمر	The act of living, inhabiting or continuing to utilise a certain place	عملية الحياة، أو السكن أو الاستخدام المتواصل لمكان معين.			
Ploughing	حرث الأرض	The act of turning/breaking up the earth, predominantly in preparation for the planting of crops. 	عملية تقليب/ أو تفتيت التربة، بهدف التحضير لزراعة المحاصيل.			
Pollution	تلوث	The contamination of the land, water, air etc., by the presence or introduction of poisioness or harmful substances. This can cover pollution arising from natural disasters, as well as pollution caused by dense urbanization etc.	إفساد أو تلويث الأرض، أو الماء، أو الهواء، عن طريق وجود أو إدخال مواد مضرة أو سامة. يشمل ذلك التلوث الناتج عن الكوارث الطبيعية، كما يشمل التلوث الذي تسببه المناطق الحضرية العالية الكثافة، وغير ذلك.			
Precipitation	تكثيف	The condensation of water vapour in the earth's atmosphere which leads to water falling in the form of rain, snow, sleet etc. and being deposited on the earth's surface.	تكثيف بخار الماء في الغلاف الجوي والذي ينتج عنه الماء الذي يسقط في صورة أمطار، أو ثلوج، أو المطر المتجمد، وغير ذلك، والذي يتم تجمعه على سطح الأرض.			
Railway	سكك حديدية	A track or network of tracks along which a train runs. Usually composed of a series of steel rails running along the ground.	سكة، أو شبكة من السكك التي يسير عليها القطار. وتكون عبارة عن قضبان حديدية ممتدة على الأرض.	سكك حديدية	ok	سكة حديدية
Recession of water	إنحسار الماء	Lowering or complete disappearance of the surface elevation of a lake or other water body (e.g. sea)				
Reconstruction	إعادة إنشاء	"The act of rebuilding an archaeological site or a place to its known and earlier statethat was damaged or destroyed. In reconstruction a mixture or additional ""modern"" and new materials and techniques are used and it is distinguished from Restoration by this use of new materials."				
Refurbishment	إعادة تأهيل	To only include activities which do not fall under construction e.g. adding electricity, painting, replacing old water pipes				
Restoration	ترميم	Returning a place to a known earlier state by removing accretions or by reassembling existing elements without the introduction of new material.				
Road/Track	طريق/ مسار	A path or route leading from one place to another, often including a built or anthropogenically modified/altered surface 	سكة تقود من مكان إلى مكان آخر، وعادة ما يكون قد تم تمهيده أو تعديله، إو معالجة سطحه بواسطة الإنسان			
Salvage	إنقاذ	The process of removing or recovering any sunken or damaged craft/vessel/vehicle and/or its cargo, generally for financial reward, safety of navigation or industrial purposes				
Seismic Activity	نشاط زلزالي	Sudden movement/vibrations of the earth's crust e.g. earthquakes	الحركة أو الذبذبة المفاجئة لقشرة الأرض، مثل الزلازل			
Stationary Vehicle	مركبة ثابتة	Presence of non-moving objects used in transport e.g. cars, tanks etc., at a site. For example, the presence of stationary tanks may indicate that the site is under military control.	وجود عناصر غير متحركة، كالسيارات، والدبابات، وغيرها في الموقع. فعلى سبيل المثال، وجود دبابة غير متحركة قد يشير إلى أن الموقع تحت السيطرة العسكرية.			
Structural Robbing	سرقة/سلب حجارة البناء	The act of removing material (e.g. stone/mudbrick) from an archaeological site. 	عملية نقل أو نزع مواد كالحجر أو الطوب الطيني من موقع أثري	سلب حجارة البناء	سرقة/سلب حجارة البناء	سرقة البنية
Temperature/Humidity Change	تغير الحرارة/ تغير الرطوبة	Shifts in the environmental conditions at a site/of a feature. This definition would include changes in moisture content at both a local and regional level, as well as shifts in the comparative scales of hot and cold.	نقلة في الأحوال المناخية للموقع أو الملمح. يشمل هذا التعريف التغيرات في محتوى الرطوبة سواء على المستوى المحلي أو المستوى الاقليمي، وكذلك التغيرات على مقاييس الحرارة والبرودة.			
Theft/Unauthorised Removal of Objects	سرقة/ إزالة غير مسموح بها للقطع	Removal of non-structural items (for structural use structural robbing) e.g immovable objects, site panels or signage. record when signage is stolen from a site or items from a museum. Note: use Excavation linked to looting when looters holes are seen but do not definitely know that material has been removed from the site.				
Trawling	اصطياد السمك بالجرافة	The process of catching fish or other aquatic organisms by dragging a fishing net from a boat through the water, and sometimes on the seabed surface.				
Tunelling	حفر خنادق	The act of creating/digging a usually narrow passage or channel through earth/rock. This process can be connected with mining activities and the construction of hydrological features.	عملية حفر وإيجاد أنفاق خلال الأرض أو الصخر. وعادة ما ترتبط هذه العملية بالتعدين أو بإنشاء عناصر هيدرولوجية.			
Vegetation/Crops/Trees	نباتات/ محاصيل/ أشجار	Cultivated or natural plant cover	زروع نمت بشكل طبيعي أو زرعها الإنسان			
Volcanic Eruption	ثورة بركان	The violent discharge of steam/volcanic material from an active vent in the earth's crust	النفث العنيف لبخار أو مواد بركانية من فتحة نشطة بالقشرة الأرضية 			
Water Action	فعل المياه	This term covers a series of effects (e.g. erosion/weathering) which are caused by the flow and movement of bodies of water (i.e. sea, lake, river, 'wadi'). It does not include flooding and precipitation which are listed as separate causes.	يشمل هذا المصطلح عدة تأثيرات كالتآكل والبري، والذي يسببه تدفق وحركة محتويات مائية  (مثل البحر، أو البحيرة، أو النهر، أو الوادي). ولا يشمل الفيضان ولا الترسيب واللذان تم تسجيلهما كمسببات مختلفة			
Water and/or Wind Action	تأثير المياه و/أو تأثير الرياح	This term covers a series of effects (e.g. erosion/weathering) which are caused by the flow and movement of bodies of water (i.e. sea, lake, river, 'wadi') and/or by the flow and movement of the wind, but where it is uncertain which of the two or both were responsible.				
Wind Action	فعل الرياح	This term covers a series of effects (e.g. erosion/weathering) which are caused by the flow and movement of the wind. It does not include temperature and humidity changes which are listed as a separate cause.	يشمل هذا المصطلح عدة تأثيرات كالتآكل والبري، والذي يسببه تدفق وحركة الرياح. ولا تشمل تغيرات الحرارة والرطوبة واللتان تم تسجيلهما كمسببات مختلفة			
Unknown	غير محدد	Unknown	غير معلوم	غير محدد	ok	مجهول
