Imagery	الصورة	Unnamed: 2	Unnamed: 3	Alternative suggested translation	MK Comments	Old Term replaced by AB or MK
Not Applicable	لا يمكن تحديد	Not Applicable	غير قابل للتطبيق	لا يمكن تحديد	ok	غير قابل للتطبيق
Satellite Imagery	صورة قمر صناعي					
Metric	نظام قياس متري					
0.31-0.34 m	0.34-0.31 م					
0.46-0.52 m	0.46-0.52 م					
0.7-2.8 m	2.8-7.0 م					
1.24-1.38 m	1.38-1.24 م					
1.85-2.07 m	2.07-1.85 م					
15-30 m	30-15 م					
2 m	2 م					
3 m	3 م					
30 m	30 م					
4 m	4 م					
60 m	60 م					
Imperial	نظام قياس إمبراطوري					
2-4 ft	4-2 قدم					
6 ft	6 قدم					
9 ft	9 قدم					
						
Processing Type	نوع المعالج	Definitions	التعريف			
Processing Type	نوع المعالج	The resolution of the image after processing				
Unknown	غير محدد	Unknown	غير معلوم	غير محدد	ok	مجهول
Other/Unlisted	آخرى/غير مدرج	The processing type is not listed				
Not Applicable	لا يمكن تحديد	Not Applicable	غير قابل للتطبيق	لا يمكن تحديد	ok	غير قابل للتطبيق
Satellite Imagery	صورة قمر صناعي					
L1 Orthorectified	L1 Orthorectified					
L1 Orthorectified SLC-off	L1 Orthorectified SLC-off					
LV2A standard	LV2A standard					
Ortho-ready	Ortho-ready					
Pan-sharpened ortho	Pan-sharpened ortho					
Standard Geometrically Corrected	Standard Geometrically Corrected					
Photograph/Video	صورة/فيديو					
Geo-rectified	مصححة أو معدلة جغرافيًا					
Ortho-rectified	مصححة أو معدلة الأبعاد					
Scanned	ممسوحة ضوئيًا					
Resized	بحجم					
Date of Acquisition	تاريخ الحيازة	Date the image was originally collected; use 1 January if only year known				
						
Date of File	تاريخ الملف	Date when version of file we've obtained was created/altered (if applicable); use 1 January if only year known				
						
Copyright	حق النشر	Definitions	التعريف			
Right Type	نوع حق النشر	Type of copyright on the image				
Unknown	مجهول	Unknown	غير معلوم			
Other/Unlisted	أخرى/غير مدرجة	The type of copyright is not listed				
No Known Restrictions	لا قيود معلومة					
Public Domain	ملكية عامة					
© Her Majesty Queen Elizabeth II	© صاحبة الجلالة الملكة إليزابيث الثانية					
Copyright	حق النشر					
Copyright (all rights reserved)	حق النشر (كل الحقوق محفوظة)	Full copyright, do not share				
Crown Copyright	حق النشر الجكومي	Special copyright rules for 'the Crown' (i.e. government departments)				
Educational license	رخصة تعليمية	Staff in education can copy, access, and use this for educational purposes				
Internal Use Only License	رخصة استخدام داخلي فقط	Use only allowed within the organisation/company				
Standard License	رخصة معيارية					
YouTube License	رخصة يوتيوب					
Creative Commons	رخصة مشاعة	See Licenses document on server or creativecommons.org/licenses				
Creative Commons (Attribution) (CC BY)	Creative Commons (Attribution) (CC BY)	Appropriate credit must be given. Commercial use allowed. Allowed to share and adapt.				
Creative Commons (Attribution-NoDerivs) (CC BY-ND)	Creative Commons (Attribution-NoDerivs) (CC BY-ND)	Appropriate credit must be given. Commercial use allowed. Allowed to share. Not allowed to adapt.				
Creative Commons (Attribution-NonCommercial) (CC BY-NC)	Creative Commons (Attribution-NonCommercial) (CC BY-NC)	Appropriate credit must be given. Commerial use not allowed. Allowed to share and adapt.				
Creative Commons (Attribution-NonCommercial-NoDerivs) (CC BY-NC-ND)	Creative Commons (Attribution-NonCommercial-NoDerivs) (CC BY-NC-ND)	Appropriate credit must be given. Commercial use not allowed. Allowed not share. Not allowed to adapt.				
Creative Commons (Attribution-NonCommercial-ShareAlike) (CC BY-NC-SA)	Creative Commons (Attribution-NonCommercial-ShareAlike) (CC BY-NC-SA)	Appropriate credit must be given. Commercial use allowed. Allowed to share and adapt.				
Creative Commons (Attribution-ShareAlike) (CC BY-SA)	Creative Commons (Attribution-ShareAlike) (CC BY-SA)	Appropriate credit must be given. Commercial use allowed. Allowed to share and adapt.				
